Genes,lb,mle,ub,ce,Z,cZ,p_value
SLC33A1,-0.15154005,0.21215607,0.51523617,0,1.159989654,0,0.123026509
NDUFV3,-0.15154005,0.21215607,0.51523617,0,1.158315516,0,0.123367651
NIT2,-0.15154005,0.21215607,0.57585219,0,1.151639001,0,0.124734724
DLD,-0.15154005,0.21215607,0.54554418,0,1.126998715,0,0.129871512
NME3,-0.18184806,0.21215607,0.6061602,0,1.073325958,0,0.141562446
CMAS,-0.18184806,0.21215607,0.6061602,0,1.019617186,0,0.153955026
GCLM,-0.21215607,0.21215607,0.57585219,0,0.980904138,0,0.163320008
MVD,-0.21215607,0.21215607,0.6061602,0,0.97658635,0,0.16438699
NDUFA7,-0.21215607,0.21215607,0.57585219,0,0.934136408,0,0.175116767
PISD,-0.24246408,0.21215607,0.63646821,0,0.917971292,0,0.179316948
KMT2C,-0.27277209,0.21215607,0.66677622,0,0.888358705,0,0.187173915
GLB1,-0.24246408,0.21215607,0.63646821,0,0.873236324,0,0.19126714
SLC30A1,-0.27277209,0.21215607,0.66677622,0,0.849234717,0,0.197875349
AKR1C4,-0.3030801,0.21215607,0.72739224,0,0.81915405,0,0.206349264
MANBA,-0.3030801,0.21215607,0.66677622,0,0.815899978,0,0.207278673
PDHB,-0.3030801,0.21215607,0.69708423,0,0.814102244,0,0.20779319
ADSS2,-0.3030801,0.21215607,0.66677622,0,0.812087262,0,0.208370781
SUCLG2,-0.33338811,0.21215607,0.72739224,0,0.769102116,0,0.220916346
CKMT1A,-0.33338811,0.21215607,0.78800826,0,0.755508623,0,0.22497193
IVD,-0.36369612,0.21215607,0.78800826,0,0.716484815,0,0.23684602
SLC15A4,-0.36369612,0.21215607,0.75770025,0,0.706859429,0,0.239826919
PIGQ,-0.39400413,0.21215607,0.78800826,0,0.687608765,0,0.245849594
PIGC,-0.36369612,0.21215607,0.72739224,0,0.6823295,0,0.247515312
SYNJ2,-0.42431214,0.21215607,0.81831627,0,0.658247626,0,0.255189513
UCK2,-0.45462015,0.21215607,0.81831627,0,0.612120052,0,0.270229166
SLC7A6,-0.48492816,0.21215607,0.84862428,0,0.609522004,0,0.271089246
DGKD,-0.48492816,0.21215607,0.87893229,0,0.605356549,0,0.272471058
TMEM91,-0.72739224,0.21215607,3.121725028,0,0.605278484,0,0.272496988
ISYNA1,-0.51523617,0.21215607,0.87893229,0,0.599529717,0,0.27440985
PIGU,-0.45462015,0.21215607,0.81831627,0,0.597202124,0,0.275186221
HS6ST2,-0.48492816,0.21215607,0.9092403,0,0.596451641,0,0.275436775
LHPP,-0.45462015,0.21215607,0.78800826,0,0.57549169,0,0.282479405
HSD17B3,-0.48492816,0.21215607,0.84862428,0,0.562572353,0,0.286863061
SLC29A3,-0.51523617,0.21215607,0.87893229,0,0.562571552,0,0.286863334
ATP6V1E2,-0.48492816,0.21215607,0.87893229,0,0.559720783,0,0.287834952
CHST14,-0.57585219,0.21215607,1.030472339,0,0.554410857,0,0.289648849
B3GALT5,-0.54554418,0.21215607,0.87893229,0,0.550742834,0,0.290904988
GUCY1B2,-0.51523617,0.21215607,0.9092403,0,0.550516231,0,0.290982674
GPAT3,-0.48492816,0.21215607,0.84862428,0,0.547441655,0,0.292037672
CA8,-0.51523617,0.21215607,0.87893229,0,0.544083596,0,0.293191974
ST6GALNAC2,-0.51523617,0.21215607,0.87893229,0,0.537213088,0,0.295560216
ACSS3,-0.57585219,0.21215607,0.93954831,0,0.499740634,0,0.308628859
ADHFE1,-0.72739224,0.21215607,1.212320399,0,0.467868013,0,0.31993949
ADCY6,-0.75770025,0.21215607,1.030472339,0,0.430232675,0,0.333513198
COX4I1,-0.06061602,0.18184806,0.42431214,0,1.514937681,0,0.064894093
UQCRB,-0.09092403,0.18184806,0.42431214,0,1.422740589,0,0.077405685
COX6C,-0.12123204,0.18184806,0.42431214,0,1.264254533,0,0.103069342
APRT,-0.09092403,0.18184806,0.42431214,0,1.233600499,0,0.108675903
NDUFS6,-0.12123204,0.18184806,0.48492816,0,1.180139731,0,0.118972322
CYC1,-0.12123204,0.18184806,0.48492816,0,1.165320692,0,0.121944603
UQCR11,-0.15154005,0.18184806,0.45462015,0,1.100661237,0,0.135522061
NDUFC1,-0.15154005,0.18184806,0.48492816,0,1.08082468,0,0.139887554
CNDP2,-0.18184806,0.18184806,0.51523617,0,1.014734147,0,0.155116286
UROS,-0.18184806,0.18184806,0.57585219,0,0.989455622,0,0.161220136
PYGB,-0.21215607,0.18184806,0.51523617,0,0.881123675,0,0.189125442
RPE,-0.24246408,0.18184806,0.6061602,0,0.878562938,0,0.189819149
OGA,-0.24246408,0.18184806,0.57585219,0,0.83159221,0,0.20281958
GALNT3,-0.24246408,0.18184806,0.54554418,0,0.817315769,0,0.206873999
GNPDA1,-0.3030801,0.18184806,0.63646821,0,0.777521494,0,0.218425579
ACAD9,-0.3030801,0.18184806,0.63646821,0,0.752984195,0,0.225729706
GALNT6,-0.3030801,0.18184806,0.66677622,0,0.743029968,0,0.228731768
DECR1,-0.3030801,0.18184806,0.63646821,0,0.741890293,0,0.229076904
ACADM,-0.3030801,0.18184806,0.63646821,0,0.737561792,0,0.23039039
PDHX,-0.27277209,0.18184806,0.63646821,0,0.737192973,0,0.230502503
PI4KA,-0.27277209,0.18184806,0.6061602,0,0.726949623,0,0.233628409
BPNT1,-0.3030801,0.18184806,0.6061602,0,0.725221001,0,0.23415823
FPGS,-0.27277209,0.18184806,0.63646821,0,0.725024017,0,0.234218648
COQ6,-0.33338811,0.18184806,0.69708423,0,0.706985525,0,0.239787736
SLC6A6,-0.33338811,0.18184806,0.6061602,0,0.674665048,0,0.249944298
PCCB,-0.36369612,0.18184806,0.66677622,0,0.6682977,0,0.251971791
ACAA1,-0.33338811,0.18184806,0.63646821,0,0.636641863,0,0.262179075
MAN1A1,-0.39400413,0.18184806,0.69708423,0,0.629972188,0,0.26435639
SLC2A8,-0.42431214,0.18184806,0.78800826,0,0.575766322,0,0.28238657
H6PD,-0.48492816,0.18184806,0.84862428,0,0.556573959,0,0.288909275
DECR2,-0.42431214,0.18184806,0.75770025,0,0.555945817,0,0.289123948
ENO2,-0.48492816,0.18184806,0.84862428,0,0.518662417,0,0.301998087
RWDD2A,-0.48492816,0.18184806,0.87893229,0,0.515718894,0,0.303025378
PLCB3,-0.48492816,0.18184806,0.78800826,0,0.504637858,0,0.306906607
ENTPD8,-0.48492816,0.18184806,0.81831627,0,0.491500099,0,0.311536391
GLCE,-0.51523617,0.18184806,0.84862428,0,0.47971847,0,0.315713796
EPHX2,-0.54554418,0.18184806,0.87893229,0,0.474493969,0,0.317573849
SYNJ1,-0.57585219,0.18184806,0.87893229,0,0.472029543,0,0.318452851
SLC9A2,-0.48492816,0.18184806,0.81831627,0,0.471923515,0,0.318490692
GMPR,-0.51523617,0.18184806,0.81831627,0,0.465059708,0,0.32094435
DGKQ,-0.54554418,0.18184806,0.81831627,0,0.459527096,0,0.322927849
BPGM,-0.57585219,0.18184806,0.87893229,0,0.459429049,0,0.322963046
SLC35B4,-0.6061602,0.18184806,0.93954831,0,0.456691906,0,0.323946255
SLC24A3,-0.9092403,0.18184806,1.151704379,0,0.455821869,0,0.324259038
ABCC4,-0.66677622,0.18184806,0.969856319,0,0.447997909,0,0.327077353
CYP39A1,-0.57585219,0.18184806,1.182012389,0,0.414111043,0,0.339396393
SLC26A6,-2.606488859,0.18184806,1.212320399,0,0.315041443,0,0.376365094
PRDX6,-0.09092403,0.15154005,0.39400413,0,1.341937382,0,0.08980815
COX7C,-0.09092403,0.15154005,0.36369612,0,1.197278337,0,0.115599043
ALDOA,-0.12123204,0.15154005,0.36369612,0,1.128772106,0,0.129496991
COX7A2,-0.15154005,0.15154005,0.42431214,0,0.999630225,0,0.158744745
UQCR10,-0.15154005,0.15154005,0.45462015,0,0.986181618,0,0.162021999
ATP6V1A,-0.15154005,0.15154005,0.45462015,0,0.963154228,0,0.167735066
DHCR24,-0.15154005,0.15154005,0.42431214,0,0.943120777,0,0.172809565
NDUFB4,-0.15154005,0.15154005,0.45462015,0,0.938981578,0,0.173870101
MDH1,-0.18184806,0.15154005,0.45462015,0,0.916698993,0,0.179650197
SDHB,-0.18184806,0.15154005,0.45462015,0,0.901184123,0,0.183745216
ATP5ME,-0.18184806,0.15154005,0.45462015,0,0.887525931,0,0.187397906
GOT1,-0.18184806,0.15154005,0.42431214,0,0.832397453,0,0.20259232
TUSC3,-0.21215607,0.15154005,0.51523617,0,0.797996584,0,0.212436236
SLC15A1,-0.3030801,0.15154005,0.69708423,0,0.758251409,0,0.224150245
PCBD1,-0.24246408,0.15154005,0.48492816,0,0.716180837,0,0.236939847
GRHPR,-0.27277209,0.15154005,0.57585219,0,0.698432344,0,0.242453428
CANT1,-0.24246408,0.15154005,0.48492816,0,0.692659259,0,0.244261706
MAT2B,-0.27277209,0.15154005,0.54554418,0,0.677466718,0,0.24905494
ACADSB,-0.3030801,0.15154005,0.57585219,0,0.675294597,0,0.249744308
SLCO2B1,-0.42431214,0.15154005,0.72739224,0,0.619864344,0,0.267673551
PLOD1,-0.33338811,0.15154005,0.6061602,0,0.606393521,0,0.272126735
NADSYN1,-0.33338811,0.15154005,0.6061602,0,0.591263495,0,0.277171943
CKB,-0.39400413,0.15154005,0.75770025,0,0.568021948,0,0.285010032
PIGS,-0.39400413,0.15154005,0.69708423,0,0.546973083,0,0.292198612
PFKP,-0.42431214,0.15154005,0.69708423,0,0.518772616,0,0.301959658
AOX1,-0.45462015,0.15154005,0.81831627,0,0.483287647,0,0.314445755
DNMT3A,-0.51523617,0.15154005,0.78800826,0,0.463480811,0,0.321509883
PIGN,-0.51523617,0.15154005,0.78800826,0,0.453934477,0,0.324937994
ENTPD4,-0.48492816,0.15154005,0.78800826,0,0.45160577,0,0.325776506
AK1,-0.48492816,0.15154005,0.78800826,0,0.450733476,0,0.326090826
ABCC2,-0.51523617,0.15154005,0.78800826,0,0.447309864,0,0.327325673
B4GALT7,-0.45462015,0.15154005,0.69708423,0,0.428139803,0,0.33427467
LDHD,-0.54554418,0.15154005,0.84862428,0,0.422657171,0,0.336272704
SDHC,-0.48492816,0.15154005,0.72739224,0,0.414414884,0,0.339285145
GLA,-0.54554418,0.15154005,0.75770025,0,0.413358039,0,0.339672157
DPYD,-0.51523617,0.15154005,0.78800826,0,0.411087518,0,0.340504181
SLC25A22,-0.51523617,0.15154005,0.81831627,0,0.40992079,0,0.340932027
MCAT,-0.54554418,0.15154005,0.81831627,0,0.405065914,0,0.34271453
HS6ST1,-0.54554418,0.15154005,0.84862428,0,0.40450702,0,0.342919958
INPP4B,-0.48492816,0.15154005,0.69708423,0,0.398377103,0,0.345176117
SLC52A3,-0.6061602,0.15154005,0.87893229,0,0.395524784,0,0.346227817
PLA2G3,-0.54554418,0.15154005,0.75770025,0,0.389549823,0,0.348434731
MTHFR,-0.54554418,0.15154005,0.75770025,0,0.388387174,0,0.348864767
SORD,-0.54554418,0.15154005,0.78800826,0,0.380131744,0,0.351923812
ATP2B4,-0.57585219,0.15154005,0.78800826,0,0.373906647,0,0.354236885
SLC1A2,-0.6061602,0.15154005,0.81831627,0,0.367405757,0,0.356658189
ACE,-0.57585219,0.15154005,0.78800826,0,0.366854308,0,0.356863848
ENO1,-0.12123204,0.12123204,0.33338811,0,0.952528313,0,0.170414557
ATP6V1C1,-0.18184806,0.12123204,0.42431214,0,0.856670812,0,0.195813419
DBI,-0.15154005,0.12123204,0.33338811,0,0.807249125,0,0.209761484
COX5A,-0.18184806,0.12123204,0.36369612,0,0.788432829,0,0.215221787
CMPK1,-0.18184806,0.12123204,0.39400413,0,0.771211479,0,0.220290796
COX6B1,-0.18184806,0.12123204,0.39400413,0,0.744387711,0,0.228320976
ATP5F1C,-0.18184806,0.12123204,0.39400413,0,0.732668259,0,0.231880394
GUK1,-0.18184806,0.12123204,0.39400413,0,0.719842091,0,0.235811113
ATP1B3,-0.24246408,0.12123204,0.48492816,0,0.643884995,0,0.259825006
PLCD4,-0.33338811,0.12123204,0.72739224,0,0.641186986,0,0.260700602
SLC7A9,-0.33338811,0.12123204,0.69708423,0,0.63650484,0,0.262223714
NDUFB2,-0.21215607,0.12123204,0.39400413,0,0.636190795,0,0.262326036
SLC2A1,-0.24246408,0.12123204,0.42431214,0,0.607109604,0,0.271889088
SLC6A3,-0.33338811,0.12123204,0.72739224,0,0.601331596,0,0.273809575
HSD17B10,-0.27277209,0.12123204,0.45462015,0,0.552174694,0,0.290414335
SLC27A1,-0.81831627,0.12123204,3.212649058,0,0.541326058,0,0.294141431
AKR7A2,-0.3030801,0.12123204,0.51523617,0,0.521370559,0,0.301054328
PDE4A,-3.000492988,0.12123204,3.394497118,0,0.510078544,0,0.304998218
SLC35B2,-0.27277209,0.12123204,0.45462015,0,0.501747909,0,0.30792243
HCST,-0.45462015,0.12123204,0.75770025,0,0.485975627,0,0.313492223
PLOD3,-0.39400413,0.12123204,0.66677622,0,0.467056024,0,0.320229898
ITPA,-0.33338811,0.12123204,0.51523617,0,0.46091272,0,0.322430613
ATP2B1,-0.39400413,0.12123204,0.6061602,0,0.448711576,0,0.326819866
RENBP,-0.48492816,0.12123204,0.78800826,0,0.418836043,0,0.337667981
MAT2A,-0.42431214,0.12123204,0.63646821,0,0.400466087,0,0.344406628
GALNT2,-0.48492816,0.12123204,0.78800826,0,0.399959912,0,0.344593022
ATP6V0D2,-0.42431214,0.12123204,0.6061602,0,0.39722999,0,0.345598934
GUSB,-0.39400413,0.12123204,0.6061602,0,0.397194934,0,0.345611859
SLC29A4,-0.51523617,0.12123204,0.72739224,0,0.381252947,0,0.351507782
ATP6V0A1,-0.48492816,0.12123204,0.72739224,0,0.379565429,0,0.352134013
CPT1A,-0.45462015,0.12123204,0.63646821,0,0.37770029,0,0.352826626
MAN2B1,-0.6061602,0.12123204,3.394497118,0,0.357855417,0,0.360225758
ACAD8,-0.54554418,0.12123204,0.81831627,0,0.357500762,0,0.360358478
SLC5A3,-0.54554418,0.12123204,0.78800826,0,0.354883229,0,0.361338536
IDH3B,-0.48492816,0.12123204,0.63646821,0,0.351331869,0,0.362669694
PMVK,-0.42431214,0.12123204,0.57585219,0,0.350798274,0,0.362869846
GNPDA2,-0.57585219,0.12123204,0.87893229,0,0.343958603,0,0.365438709
QDPR,-0.54554418,0.12123204,0.78800826,0,0.340714015,0,0.366659443
PDE11A,-0.51523617,0.12123204,0.75770025,0,0.338262093,0,0.367582844
MECR,-0.51523617,0.12123204,0.69708423,0,0.334584422,0,0.368969299
HIBCH,-0.54554418,0.12123204,0.78800826,0,0.333580298,0,0.369348144
CROT,-0.6061602,0.12123204,0.81831627,0,0.331424898,0,0.37016178
SLC2A4,-0.63646821,0.12123204,0.81831627,0,0.331339837,0,0.370193902
PIK3R1,-0.51523617,0.12123204,0.66677622,0,0.328092223,0,0.371420967
GALC,-0.6061602,0.12123204,0.75770025,0,0.320456298,0,0.374311227
CA2,-0.72739224,0.12123204,1.030472339,0,0.317661248,0,0.375370954
PIGH,-0.54554418,0.12123204,0.78800826,0,0.314277889,0,0.376654995
PIP4K2B,-0.6061602,0.12123204,0.78800826,0,0.310422487,0,0.378119848
SLC27A4,-0.54554418,0.12123204,0.69708423,0,0.302100508,0,0.381287723
ACY1,-0.72739224,0.12123204,0.87893229,0,0.29281745,0,0.384830845
PPT2,-0.57585219,0.12123204,0.75770025,0,0.286071837,0,0.387411551
CYP4B1,-0.69708423,0.12123204,0.84862428,0,0.268070525,0,0.394322517
SLC22A4,-0.72739224,0.12123204,0.78800826,0,0.17596914,0,0.430159094
PTGS1,-0.69708423,0.12123204,0.72739224,0,0.168464563,0,0.43310891
CERK,-2.848952939,0.12123204,1.030472339,0,0.138622504,0,0.44487423
SLC1A1,-3.212649058,0.12123204,1.000164329,0,0.042244903,0,0.483151733
GCNT2,-3.242957068,0.12123204,0.9092403,0,-0.047946439,0,0.519120536
ACP1,-0.18184806,0.09092403,0.33338811,0,0.686407264,0,0.246228163
SLC5A11,-0.33338811,0.09092403,0.75770025,0,0.581382691,0,0.28049128
NDUFB10,-0.18184806,0.09092403,0.36369612,0,0.561598274,0,0.287194878
GCNT3,-0.33338811,0.09092403,0.66677622,0,0.560702592,0,0.28750015
NT5C2,-0.21215607,0.09092403,0.36369612,0,0.553341173,0,0.290014906
GGCT,-0.21215607,0.09092403,0.33338811,0,0.542907197,0,0.29359685
CYP27A1,-0.48492816,0.09092403,0.72739224,0,0.457466745,0,0.3236678
MGAT1,-0.3030801,0.09092403,0.48492816,0,0.426191788,0,0.33498405
PEPD,-0.33338811,0.09092403,0.51523617,0,0.425792701,0,0.335129453
ABCA1,-0.45462015,0.09092403,0.78800826,0,0.417484709,0,0.338161953
ACOT1,-0.51523617,0.09092403,0.69708423,0,0.416707086,0,0.338446335
SUCLG1,-0.33338811,0.09092403,0.51523617,0,0.415069231,0,0.339045612
ME1,-0.27277209,0.09092403,0.39400413,0,0.397366476,0,0.345548617
TALDO1,-0.27277209,0.09092403,0.36369612,0,0.392537628,0,0.347330507
SLC35A3,-0.33338811,0.09092403,0.45462015,0,0.366388353,0,0.357037655
GGPS1,-0.33338811,0.09092403,0.48492816,0,0.365450133,0,0.357387712
HMOX2,-0.3030801,0.09092403,0.45462015,0,0.360867939,0,0.359099086
SGPP1,-0.33338811,0.09092403,0.48492816,0,0.357031609,0,0.360534071
SLC35A2,-0.33338811,0.09092403,0.48492816,0,0.35164076,0,0.362553847
CRLS1,-0.3030801,0.09092403,0.42431214,0,0.343217257,0,0.365717512
COX8C,-0.51523617,0.09092403,0.66677622,0,0.342591513,0,0.365952894
HMGCS2,-0.48492816,0.09092403,0.69708423,0,0.322528435,0,0.3735262
ATP5MF,-0.45462015,0.09092403,0.6061602,0,0.311083584,0,0.37786854
GALNT7,-0.39400413,0.09092403,0.51523617,0,0.303206262,0,0.380866338
GMDS,-0.39400413,0.09092403,0.51523617,0,0.302559663,0,0.381112729
AGL,-0.57585219,0.09092403,0.72739224,0,0.26532339,0,0.395380174
PIGG,-0.48492816,0.09092403,0.63646821,0,0.265210185,0,0.395423775
GALT,-0.72739224,0.09092403,0.93954831,0,0.264724092,0,0.395611008
GK,-0.54554418,0.09092403,0.72739224,0,0.254511967,0,0.39955003
PDE7A,-0.51523617,0.09092403,0.69708423,0,0.250329936,0,0.401166104
NUDT9,-0.51523617,0.09092403,0.66677622,0,0.246389003,0,0.402690559
AMPD2,-0.54554418,0.09092403,0.63646821,0,0.23561617,0,0.406865263
MTR,-0.48492816,0.09092403,0.6061602,0,0.234812326,0,0.4071772
DMAC2L,-0.45462015,0.09092403,0.57585219,0,0.234086278,0,0.407458999
PIKFYVE,-0.6061602,0.09092403,0.69708423,0,0.211060397,0,0.416420071
ACSS2,-0.54554418,0.09092403,0.66677622,0,0.206141249,0,0.418340289
ABCC8,-0.54554418,0.09092403,0.66677622,0,0.201587862,0,0.420119468
IP6K1,-0.6061602,0.09092403,0.72739224,0,0.189548428,0,0.424831501
THNSL1,-0.66677622,0.09092403,0.75770025,0,0.188288139,0,0.425325391
SLC15A2,-0.69708423,0.09092403,0.78800826,0,0.182715368,0,0.427510678
CYB5D1,-0.63646821,0.09092403,0.75770025,0,0.177257815,0,0.429652943
GCAT,-0.66677622,0.09092403,0.75770025,0,0.166281011,0,0.433967904
B3GNTL1,-0.72739224,0.09092403,0.78800826,0,0.134053263,0,0.446680228
GAD1,-3.061109008,0.09092403,0.84862428,0,-0.167598443,0,0.566550402
HKDC1,-0.51523617,0.06061602,0.75770025,0,0.799009813,0,0.212142361
ATP5F1E,-0.15154005,0.06061602,0.27277209,0,0.519307678,0,0.3017731
PRODH2,-0.36369612,0.06061602,0.69708423,0,0.499038184,0,0.308876242
SLC26A1,-0.69708423,0.06061602,3.091417018,0,0.48872199,0,0.312519267
GAD2,-0.48492816,0.06061602,0.69708423,0,0.373208585,0,0.354496604
AOC1,-0.45462015,0.06061602,0.72739224,0,0.360265681,0,0.35932423
AGPAT4,-0.39400413,0.06061602,0.54554418,0,0.34561611,0,0.364815618
PPA2,-0.27277209,0.06061602,0.39400413,0,0.338507515,0,0.367490382
ETNPPL,-0.57585219,0.06061602,0.6061602,0,0.323281217,0,0.373241139
IDH3G,-0.3030801,0.06061602,0.42431214,0,0.322597374,0,0.373500092
NDUFB11,-0.3030801,0.06061602,0.42431214,0,0.313250714,0,0.377045096
PIK3C2A,-0.33338811,0.06061602,0.45462015,0,0.307394419,0,0.379271588
NDUFV1,-0.33338811,0.06061602,0.42431214,0,0.278411001,0,0.390348438
NDUFB8,-0.3030801,0.06061602,0.39400413,0,0.272165677,0,0.392747316
AGA,-0.36369612,0.06061602,0.51523617,0,0.270262529,0,0.393479145
SEPHS2,-0.21215607,0.06061602,0.27277209,0,0.257328667,0,0.398462532
PDE8B,-0.54554418,0.06061602,0.63646821,0,0.24592671,0,0.402869483
SPR,-0.42431214,0.06061602,0.54554418,0,0.242045081,0,0.404372616
GPI,-0.24246408,0.06061602,0.3030801,0,0.236350365,0,0.406580404
AK4,-0.42431214,0.06061602,0.51523617,0,0.22935417,0,0.409296827
COASY,-0.42431214,0.06061602,0.54554418,0,0.226535976,0,0.410392291
HSD17B4,-0.3030801,0.06061602,0.39400413,0,0.218075552,0,0.413685123
PCYT1A,-0.27277209,0.06061602,0.36369612,0,0.216311251,0,0.41437257
FLAD1,-0.42431214,0.06061602,0.54554418,0,0.215685734,0,0.414616361
DGUOK,-0.27277209,0.06061602,0.36369612,0,0.211487632,0,0.416253391
CHPT1,-0.42431214,0.06061602,0.48492816,0,0.211202189,0,0.416364752
HK1,-0.33338811,0.06061602,0.39400413,0,0.210716213,0,0.416554361
SLC27A5,-0.51523617,0.06061602,0.66677622,0,0.210045567,0,0.416816054
HSD3B7,-0.57585219,0.06061602,0.72739224,0,0.203949427,0,0.41919651
SULT1A1,-0.48492816,0.06061602,0.57585219,0,0.192865219,0,0.423532262
COQ7,-0.51523617,0.06061602,0.66677622,0,0.191349241,0,0.424125993
SLC25A16,-0.54554418,0.06061602,0.63646821,0,0.190394981,0,0.424499815
KCNJ11,-0.6061602,0.06061602,1.788172589,0,0.188702036,0,0.425163178
CDS2,-0.57585219,0.06061602,0.69708423,0,0.185553392,0,0.426397503
HK2,-0.45462015,0.06061602,0.54554418,0,0.175147887,0,0.430481716
AADAT,-0.6061602,0.06061602,0.75770025,0,0.171253407,0,0.432012257
PTDSS2,-0.6061602,0.06061602,0.72739224,0,0.170927756,0,0.432140286
SC5D,-0.39400413,0.06061602,0.45462015,0,0.163438314,0,0.435086669
IDS,-0.51523617,0.06061602,0.57585219,0,0.158572704,0,0.437002768
GSS,-0.42431214,0.06061602,0.51523617,0,0.153015095,0,0.439193186
AGMAT,-0.6061602,0.06061602,0.66677622,0,0.151352115,0,0.439848981
SLC12A5,-0.63646821,0.06061602,0.69708423,0,0.139616825,0,0.444481373
ACAD11,-0.6061602,0.06061602,0.66677622,0,0.138488613,0,0.444927134
ALDH9A1,-0.42431214,0.06061602,0.48492816,0,0.131918129,0,0.447524525
PTPMT1,-0.42431214,0.06061602,0.45462015,0,0.131199577,0,0.447808715
INPP5E,-2.788336919,0.06061602,0.81831627,0,0.130558185,0,0.448062412
CES2,-0.57585219,0.06061602,0.6061602,0,0.128196453,0,0.448996754
MTMR3,-0.6061602,0.06061602,0.69708423,0,0.117307195,0,0.453308312
UAP1,-0.54554418,0.06061602,0.6061602,0,0.106018996,0,0.45778364
NDST1,-0.66677622,0.06061602,0.69708423,0,0.105468076,0,0.4580022
PIGF,-0.63646821,0.06061602,0.66677622,0,0.096660602,0,0.461497964
SLC25A19,-0.72739224,0.06061602,0.78800826,0,0.08527602,0,0.466020978
NADK,-0.75770025,0.06061602,0.69708423,0,0.060096104,0,0.476039547
GCDH,-0.78800826,0.06061602,0.69708423,0,0.039984616,0,0.484052696
GLS2,-3.212649058,0.06061602,3.000492988,0,-0.072461252,0,0.52888258
CYP2B6,-0.33338811,0.03030801,0.81831627,0,0.716329313,0,0.236894015
ACMSD,-0.39400413,0.03030801,0.57585219,0,0.331395014,0,0.370173065
CYP2E1,-2.697412889,0.03030801,3.394497118,0,0.300331447,0,0.381962174
ATP5MG,-0.21215607,0.03030801,0.27277209,0,0.253181448,0,0.400064001
ENPP2,-0.57585219,0.03030801,0.63646821,0,0.211135782,0,0.41639066
ATP1A2,-0.45462015,0.03030801,0.6061602,0,0.195972926,0,0.422315679
ATP5MC2,-0.21215607,0.03030801,0.27277209,0,0.191581327,0,0.424035085
MCCC2,-0.27277209,0.03030801,0.33338811,0,0.171171149,0,0.432044596
SRM,-0.3030801,0.03030801,0.33338811,0,0.160833919,0,0.436112105
ST6GALNAC5,-0.54554418,0.03030801,0.57585219,0,0.146168118,0,0.441894337
PLA2G12A,-0.36369612,0.03030801,0.39400413,0,0.137695268,0,0.44524063
ACY3,-0.57585219,0.03030801,0.63646821,0,0.131940362,0,0.447515732
TM7SF2,-0.33338811,0.03030801,0.36369612,0,0.121434935,0,0.451673274
ACO2,-0.36369612,0.03030801,0.39400413,0,0.12045654,0,0.452060753
NDUFB7,-0.33338811,0.03030801,0.36369612,0,0.120254777,0,0.452140663
UGT2B17,-0.54554418,0.03030801,0.63646821,0,0.111124917,0,0.455758645
ADCY5,-0.6061602,0.03030801,0.81831627,0,0.102709068,0,0.459096938
IMPDH1,-0.45462015,0.03030801,0.51523617,0,0.10211743,0,0.459331733
SETD7,-0.36369612,0.03030801,0.39400413,0,0.093525167,0,0.462743178
UGT2B15,-0.69708423,0.03030801,0.84862428,0,0.083364687,0,0.466780783
ATIC,-0.36369612,0.03030801,0.36369612,0,0.083228027,0,0.466835114
BLVRA,-0.42431214,0.03030801,0.45462015,0,0.079685169,0,0.468243828
BTD,-0.6061602,0.03030801,0.66677622,0,0.0761466,0,0.469651233
ALAS1,-0.6061602,0.03030801,0.63646821,0,0.072059908,0,0.471277116
ALG8,-0.48492816,0.03030801,0.51523617,0,0.071832545,0,0.471367586
CSGALNACT2,-0.6061602,0.03030801,0.66677622,0,0.069479482,0,0.472303982
GNPAT,-0.57585219,0.03030801,0.6061602,0,0.066930209,0,0.473318632
CYP2C8,-0.6061602,0.03030801,0.66677622,0,0.065932364,0,0.473715837
PAFAH1B2,-0.36369612,0.03030801,0.36369612,0,0.064808156,0,0.474163374
NME1,-0.27277209,0.03030801,0.3030801,0,0.064671341,0,0.474217841
PRODH,-0.63646821,0.03030801,0.66677622,0,0.062646399,0,0.475024041
CKMT1B,-0.57585219,0.03030801,0.6061602,0,0.05947932,0,0.476285168
NME6,-0.63646821,0.03030801,0.69708423,0,0.05934701,0,0.476337859
NDUFA11,-0.36369612,0.03030801,0.39400413,0,0.058761158,0,0.476571173
PCYT2,-0.45462015,0.03030801,0.48492816,0,0.055443601,0,0.47789253
NDUFB9,-0.27277209,0.03030801,0.27277209,0,0.05026072,0,0.479957313
SLC25A15,-0.72739224,0.03030801,0.75770025,0,0.048350155,0,0.480718592
ASL,-0.57585219,0.03030801,0.57585219,0,0.042048702,0,0.483229937
UGDH,-0.3030801,0.03030801,0.3030801,0,0.039306113,0,0.484323167
TPH1,-0.57585219,0.03030801,0.57585219,0,0.032793397,0,0.486919672
HSD17B8,-0.57585219,0.03030801,0.57585219,0,0.030088698,0,0.487998157
SLC35D2,-0.6061602,0.03030801,0.63646821,0,0.029622761,0,0.488183956
FUT8,-0.66677622,0.03030801,0.6061602,0,0.021723274,0,0.491334349
PTGES2,-0.42431214,0.03030801,0.42431214,0,0.013078025,0,0.494782772
EHMT2,-0.6061602,0.03030801,0.6061602,0,0.003903006,0,0.49844293
SUCLA2,-0.54554418,0.03030801,0.48492816,0,0,0,0.5
ENTPD2,-3.212649058,0.03030801,0.72739224,0,-0.041781304,0,0.51666348
