abbreviation,fullName,chargedFormula
CE5756_c,M_CE5756_c,C26H35O8
CE5756_r,M_CE5756_r,C26H35O8
CE5757_c,4-oxo-9-cis-retinoyl-beta-glucuronide,C26H33O9
CE5757_r,4-oxo-9-cis-retinoyl-beta-glucuronide,C26H33O9
CE5782_c,somatostatin,C76H104N18O19S2
CE5783_c,Somatostatin fragment 3-14,C71H98N16O17S2
CE5786_c,kinetensin,C56H87N17O11
CE5786_e,kinetensin,C56H87N17O11
CE5787_e,kinetensin 1-3,C15H31N6O4
CE5788_c,kinetensin 1-7,C41H67N15O9
CE5788_e,kinetensin 1-7,C41H67N15O9
CE5789_c,kinetensin 1-8,C50H76N16O10
CE5789_e,kinetensin 1-8,C50H76N16O10
CE5791_e,kinetensin 4-8,C35H47N10O7
CE5794_c,neuromedin B,C52H74N15O12S
CE5794_l,neuromedin B,C52H74N15O12S
CE5795_c,neuromedin B (1-3),C12H22N4O5
CE5795_l,neuromedin B (1-3),C12H22N4O5
CE5796_c,neuromedin B (4-10),C40H54N11O8S
CE5796_l,neuromedin B (4-10),C40H54N11O8S
CE5797_c,neuromedin N,C32H51N5O7
CE5797_e,neuromedin N,C32H51N5O7
CE5798_c,neuromedin N (1-4),C26H40N4O6
CE5798_e,neuromedin N (1-4),C26H40N4O6
CE5815_c,20-hydroxy-5S-HETE,C20H31O4
CE5815_r,20-hydroxy-5S-HETE,C20H31O4
CE5820_c,histidyl-prolinamide,C11H18N5O2
CE5828_c,"5,9,11-trihydroxyprosta-6E,14Z-dien-1-oate",C20H33O5
CE5829_c,5-HT-moduline,C18H34N4O6
CE5835_c,8alpha-hydroxytocopherone,C29H50O3
CE5837_c,"7,8-epoxy-8alpha-hydroperoxytocopherone",C29H50O5
CE5838_c,"5,6-epoxy-alpha-tocopheryl quinone",C29H50O4
CE5839_c,"4alpha,5-epoxy-8alpha-hydroperoxytocopherone",C29H50O5
CE5840_c,"2,3-epoxy-alpha-tocopheryl quinone",C29H50O4
CE5842_c,13-hydroxy-alpha-tocopherol,C29H50O3
CE5842_r,13-hydroxy-alpha-tocopherol,C29H50O3
CE5843_c,13-carboxy-alpha-tocopherol,C29H47O4
CE5843_r,13-carboxy-alpha-tocopherol,C29H47O4
CE5853_c,alpha-CEHC-glucuronide,C22H29O10
CE5853_e,alpha-CEHC-glucuronide,C22H29O10
CE5853_l,alpha-CEHC-glucuronide,C22H29O10
CE5853_r,alpha-CEHC-glucuronide,C22H29O10
CE5854_c,gama-CEHC-glucuronide,C21H27O10
CE5854_e,gama-CEHC-glucuronide,C21H27O10
CE5854_l,gama-CEHC-glucuronide,C21H27O10
CE5854_r,gama-CEHC-glucuronide,C21H27O10
CE5860_c,N-acetyl-5-methoxykynuramine,C12H16N2O3
CE5865_c,L-leucyl-L-serine,C9H18N2O4
CE5866_c,L-alanyl-L-leucine,C9H18N2O3
CE5867_c,N-acetyl-seryl-aspartyl-lysyl-proline,C20H32N5O9
CE5867_e,N-acetyl-seryl-aspartyl-lysyl-proline,C20H32N5O9
CE5868_c,N-acetyl-seryl-aspartate,C9H12N2O7
CE5868_e,N-acetyl-seryl-aspartate,C9H12N2O7
CE5869_c,lysyl-proline,C11H22N3O3
CE5869_e,lysyl-proline,C11H22N3O3
CE5875_m,2-methylglutaconyl-CoA,C27H37N7O19P3S
CE5898_c,pentyl radical,C5H11
CE5920_c,"13-oxo-9Z,11E-tridecadienoate",C13H19O3
CE5921_c,octanoate radical,C8H15O2
CE5922_c,"12,13-epoxy-9-hydroperoxy-10E-octadecenoate",C18H31O5
CE5924_c,prostaglandin F2alpha,C20H34O5
CE5925_c,"12-peroxy-5Z,8Z,10E,14Z-eicosatetraenoate",C20H30O4
CE5926_c,"11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-5Z,9E-eicosadienoic",C20H31O6
CE5928_c,"8-peroxy-5Z,9E,11Z,14Z-eicosatetraenoate",C20H30O4
CE5929_c,"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid",C20H33O5
CE5930_c,"5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoic acid",C20H31O6
CE5931_c,"5,9-cyclo-6,8,12-trihydroxy-(10E,14Z)-eicosadienoic acid",C20H33O5
CE5932_c,"13,14-epoxy-retinol",C20H30O2
CE5934_x,3(R)-hydroxy-pristanoyl-CoA,C40H68N7O18P3S
CE5935_x,"(2S,6R,10R)-trimethyl-hendecanoyl-CoA",C35H58N7O17P3S
CE5936_x,"(2R,6R,10R)-trimethyl-hendecanoyl-CoA",C35H58N7O17P3S
CE5938_x,"(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA",C37H60N7O17P3S
CE5939_x,"3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA",C37H60N7O18P3S
CE5940_x,"3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA",C37H62N7O18P3S
CE5941_x,"(2S,6R,10R)-trimethyl-2E-hendecenoyl-CoA",C35H56N7O17P3S
CE5942_x,"3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA",C35H56N7O18P3S
CE5943_x,"3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA",C35H58N7O18P3S
CE5944_c,"10,11-dihydro-12-oxo-LTB4",C20H31O4
CE5944_m,"10,11-dihydro-12-oxo-LTB4",C20H31O4
CE5944_x,"10,11-dihydro-12-oxo-LTB4",C20H31O4
CE5945_c,"10,11-dihydro-20-dihydroxy-LTB4",C20H33O6
CE5945_r,"10,11-dihydro-20-dihydroxy-LTB4",C20H33O6
CE5946_c,"10,11-dihydro-20-trihydroxy-leukotriene B4",C20H33O7
CE5946_r,"10,11-dihydro-20-trihydroxy-leukotriene B4",C20H33O7
CE5947_c,"20-COOH-10,11-dihydro-LTB4",C20H30O6
CE5947_m,"20-COOH-10,11-dihydro-LTB4",C20H30O6
CE5947_x,"20-COOH-10,11-dihydro-LTB4",C20H30O6
CE5956_c,"trans,trans,cis-geranyl-geranyl-PP",C20H33O7P2
CE5966_c,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H62N7O20P3S
CE5966_m,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H62N7O20P3S
CE5966_x,"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H62N7O20P3S
CE5967_c,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",C39H60N7O19P3S
CE5967_m,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",C39H60N7O19P3S
CE5967_x,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",C39H60N7O19P3S
CE5968_c,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",C18H29O4
CE5968_m,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",C18H29O4
CE5968_x,"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",C18H29O4
CE5969_c,"10,11-dihydro-LTB4-CoA",C41H64N7O19P3S
CE5969_m,"10,11-dihydro-LTB4-CoA",C41H64N7O19P3S
CE5969_r,"10,11-dihydro-LTB4-CoA",C41H64N7O19P3S
CE5969_x,"10,11-dihydro-LTB4-CoA",C41H64N7O19P3S
CE5970_m,"5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA",C41H62N7O19P3S
CE5970_x,"5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA",C41H62N7O19P3S
CE5971_c,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H64N7O20P3S
CE5971_m,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H64N7O20P3S
CE5971_x,"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA",C41H64N7O20P3S
CE5976_c,"12-oxo-10,11-dihydro-20-COOH-LTB4",C20H28O6
CE5976_m,"12-oxo-10,11-dihydro-20-COOH-LTB4",C20H28O6
CE5976_x,"12-oxo-10,11-dihydro-20-COOH-LTB4",C20H28O6
CE5986_c,5-nitro-gama-tocopherol,C28H47NO4
CE5994_x,20-oxo-leukotriene E4,C23H34NO6S
CE5995_x,20-COOH-leukotriene E4,C23H33NO7S
CE6000_c,nitrosoperoxycarbonate,CNO5
CE6027_c,"24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3",C23H34O3
CE6027_m,"24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3",C23H34O3
CE6031_c,androsterone sulfate,C19H29O5S
CE6031_l,androsterone sulfate,C19H29O5S
CE6031_r,androsterone sulfate,C19H29O5S
CE6182_c,20-CoA-20-oxo-leukotriene B4,C41H59N7O21P3S
CE6182_m,20-CoA-20-oxo-leukotriene B4,C41H59N7O21P3S
CE6182_r,20-CoA-20-oxo-leukotriene B4,C41H59N7O21P3S
CE6182_x,20-CoA-20-oxo-leukotriene B4,C41H59N7O21P3S
CE6183_c,"18,20-dioxo-20-CoA-leukotriene B4",C41H57N7O22P3S
CE6183_m,"18,20-dioxo-20-CoA-leukotriene B4",C41H57N7O22P3S
CE6183_x,"18,20-dioxo-20-CoA-leukotriene B4",C41H57N7O22P3S
CE6184_c,18-CoA-18-oxo-dinorleukotriene B4,C39H55N7O21P3S
CE6184_m,18-CoA-18-oxo-dinorleukotriene B4,C39H55N7O21P3S
CE6184_x,18-CoA-18-oxo-dinorleukotriene B4,C39H55N7O21P3S
CE6185_c,omega-carboxy-trinor-leukotriene B4,C18H24O6
CE6185_m,omega-carboxy-trinor-leukotriene B4,C18H24O6
CE6185_x,omega-carboxy-trinor-leukotriene B4,C18H24O6
CE6186_m,18E-20-oxo-20-CoA-LTB4,C41H57N7O21P3S
CE6186_x,18E-20-oxo-20-CoA-LTB4,C41H57N7O21P3S
CE6187_c,20-CoA-20-oxo-18R-hydroxyleucotriene B4,C41H59N7O22P3S
CE6187_m,20-CoA-20-oxo-18R-hydroxyleucotriene B4,C41H59N7O22P3S
CE6187_x,20-CoA-20-oxo-18R-hydroxyleucotriene B4,C41H59N7O22P3S
CE6188_x,CoA-omega-COOH-dinor-LTE4,C42H60N8O22P3S2
CE6189_x,CoA-20-COOH-18-oxo-LTE4,C44H62N8O23P3S2
CE6190_x,CoA-20-COOH-LTE4,C44H64N8O22P3S2
CE6191_x,18E-20-oxo-20-CoA-LTE4,C44H62N8O22P3S2
CE6192_x,18(R)-hydroxy-20-oxo-20-CoA-LTE4,C44H64N8O23P3S2
CE6193_x,18-carboxy-dinor-LTE4,C21H29NO7S
CE6198_x,"16,18-oxo-18-CoA-dinor-LTE4",C42H60N8O23P3S2
CE6204_x,CoA-18-COOH-16E-dinor-LTE5,C42H58N8O22P3S2
CE6205_c,5-methoxytryptophol,C11H13NO2
CE6219_c,gama-tocopheryl quinone,C28H48O3
CE6225_x,16E-18-oxo-18-CoA-dinor-LTE4,C42H60N8O22P3S2
CE6226_x,16(S)-hydroxy-18-oxo-18-CoA-LTE4,C42H62N8O23P3S2
CE6227_x,CoA-18-COOH-15E-dinor-LTE4,C42H60N8O22P3S2
CE6228_x,13E-tetranor-16-oxo-16-CoA-LTE4,C40H56N8O22P3S2
CE6229_x,13E-tetranor-16-carboxy-LTE4,C19H25NO7S
CE6230_c,"15-hydroperoxyeicosa-8Z,11Z,13E-trienoate",C20H33O4
CE6232_c,prostaglandin G1,C20H33O6
CE6232_r,prostaglandin G1,C20H33O6
CE6234_c,prostaglandin H1,C20H33O5
CE6234_n,prostaglandin H1,C20H33O5
CE6235_c,S-(PGA2)-glutathione,C30H45N3O10S
CE6235_m,S-(PGA2)-glutathione,C30H45N3O10S
CE6235_r,S-(PGA2)-glutathione,C30H45N3O10S
CE6240_c,9-deoxy-delta12-PGD2,C20H31O4
CE6240_m,9-deoxy-delta12-PGD2,C20H31O4
CE6240_r,9-deoxy-delta12-PGD2,C20H31O4
CE6241_c,S-(9-deoxy-delta12-PGD2)-glutathione,C30H47N3O10S
CE6241_m,S-(9-deoxy-delta12-PGD2)-glutathione,C30H47N3O10S
CE6241_r,S-(9-deoxy-delta12-PGD2)-glutathione,C30H47N3O10S
CE6242_c,S-(PGJ2)-glutathione,C30H45N3O10S
CE6242_m,S-(PGJ2)-glutathione,C30H45N3O10S
CE6242_r,S-(PGJ2)-glutathione,C30H45N3O10S
CE6243_c,"S-(9-deoxy-delta9,12-PGD2)-glutathione",C30H45N3O10S
CE6243_m,"S-(9-deoxy-delta9,12-PGD2)-glutathione",C30H45N3O10S
CE6243_r,"S-(9-deoxy-delta9,12-PGD2)-glutathione",C30H45N3O10S
CE6244_c,S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione,C30H49N3O10S
CE6245_c,"S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione",C30H47N3O10S
CE6247_c,20-hydroxy-leukotriene B4,C20H31O5
CE6247_r,20-hydroxy-leukotriene B4,C20H31O5
CE6248_c,20-OH-hepoxilin A3,C20H31O5
CE6248_r,20-OH-hepoxilin A3,C20H31O5
CE6250_c,hepoxilin A3-C,C30H47N3O10S
CE6250_m,hepoxilin A3-C,C30H47N3O10S
CE6250_r,hepoxilin A3-C,C30H47N3O10S
CE6250_x,hepoxilin A3-C,C30H47N3O10S
CE6251_c,"12,20-DiHETE",C20H31O4
CE6251_r,"12,20-DiHETE",C20H31O4
CE6252_c,urate radical,C5H3N4O3
CE6316_c,"N,N-dimethyldopaminequinone",C10H14NO2
CE6316_g,"N,N-dimethyldopaminequinone",C10H14NO2
CE6316_l,"N,N-dimethyldopaminequinone",C10H14NO2
CE6415_c,(11S)-11-hydroperoxylinoleic acid,C18H31O4
CE6420_c,8-peroxy-docosahexaenoate,C22H30O4
CE6423_c,11-peroxy-docosahexaenoate,C22H30O4
CE6426_c,7-peroxy-docosahexaenoate,C22H30O4
CE6429_c,14-HPDHE(1-),C22H30O4
CE6432_c,10-peroxy-docosahexaenoate,C22H30O4
CE6435_c,17-peroxy-docosahexaenoate,C22H30O4
CE6438_c,16-peroxy-docosahexaenoate,C22H30O4
CE6444_c,4-hydroperoxy-H4-neuroprostane,C22H31O6
CE6445_c,7-hydroperoxy-H4-neuroprostane,C22H31O6
CE6446_c,11-hydroperoxy-H4-neuroprostane,C22H31O6
CE6447_c,10-hydroperoxy-H4-neuroprostane,C22H31O6
CE6448_c,14-hydroperoxy-H4-neuroprostane,C22H31O6
CE6449_c,13-hydroperoxy-H4-neuroprostane,C22H31O6
CE6450_c,17-hydroperoxy-H4-neuroprostane,C22H31O6
CE6451_c,20-hydroperoxy-H4-neuroprostane,C22H31O6
CE6452_c,4-hydroxy-E4-neuroprostane,C22H31O5
CE6453_c,4-hydroxy-D4-neuroprostane,C22H31O5
CE6454_c,7-hydroxy-E4-neuroprostane,C22H31O5
CE6455_c,7-hydroxy-D4-neuroprostane,C22H31O5
CE6456_c,11-hydroxy-E4-neuroprostane,C22H31O5
CE6457_c,11-hydroxy-D4-neuroprostane,C22H31O5
CE6458_c,10-hydroxy-E4-neuroprostane,C22H31O5
CE6459_c,10-hydroxy-D4-neuroprostane,C22H31O5
CE6460_c,14-hydroxy-E4-neuroprostane,C22H31O5
CE6461_c,14-hydroxy-D4-neuroprostane,C22H31O5
CE6462_c,13-hydroxy-E4-neuroprostane,C22H31O5
CE6463_c,13-hydroxy-D4-neuroprostane,C22H31O5
CE6464_c,17-hydroxy-E4-neuroprostane,C22H31O5
CE6465_c,17-hydroxy-D4-neuroprostane,C22H31O5
CE6466_c,20-hydroxy-E4-neuroprostane,C22H31O5
CE6467_c,20-hydroxy-D4-neuroprostane,C22H31O5
CE6502_c,"9,10-12,13-diepoxy-octadecanoate",C18H31O4
CE6504_c,"1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether",C18H31O6
CE6506_c,"3,4-epoxynonanal",C9H16O2
CE6508_c,5-hydroperoxy-EPA,C20H29O4
CE6508_n,5-hydroperoxy-EPA,C20H29O4
CE7047_c,gama-tocopheroxyl radical,C28H47O2
CE7072_c,13-carboxy-gama-tocotrienol,C28H39O4
CE7072_r,13-carboxy-gama-tocotrienol,C28H39O4
CE7074_c,13-hydroxy-gama-tocotrienol,C28H42O3
CE7074_r,13-hydroxy-gama-tocotrienol,C28H42O3
CE7079_c,leukotriene A5,C20H27O3
CE7080_c,15(S)-hydroperoxy-EPE,C20H29O4
CE7081_n,15(R)-HEPE,C20H29O3
CE7081_r,15(R)-HEPE,C20H29O3
CE7081_c,15(S)-HEPE,C20H29O3
CE7083_c,Leukotriene B5,C20H30O4
CE7083_r,Leukotriene B5,C20H30O4
CE7085_c,5-HEPE,C20H29O3
CE7085_x,5-HEPE,C20H29O3
CE7086_c,leukotriene C5,C30H43N3O9S
CE7087_c,leukotriene D5,C25H37N2O6S
CE7088_c,PGH3,C20H29O5
CE7088_n,PGH3,C20H29O5
CE7090_c,18R-HEPE,C20H29O3
CE7090_n,18R-HEPE,C20H29O3
CE7091_c,15(R)-hydroperoxy-EPE,C20H29O4
CE7091_n,15(R)-hydroperoxy-EPE,C20H29O4
CE7091_r,15(R)-hydroperoxy-EPE,C20H29O4
CE7091_x,15(R)-hydroperoxy-EPE,C20H29O4
CE7096_c,"5,15-DiHETE",C20H31O4
CE7096_n,"5,15-DiHETE",C20H31O4
CE7097_c,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",C20H29O4
CE7097_m,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",C20H29O4
CE7097_x,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",C20H29O4
CE7101_c,8alpha-hydroxy-gama-tocopherone,C28H48O3
CE7109_c,"5(S),6(S)-epoxy-15(R)-HEPE",C20H27O4
CE7109_n,"5(S),6(S)-epoxy-15(R)-HEPE",C20H27O4
CE7109_r,"5(S),6(S)-epoxy-15(R)-HEPE",C20H27O4
CE7109_x,"5(S),6(S)-epoxy-15(R)-HEPE",C20H27O4
CE7110_c,"5,6-epoxy,18R-HEPE",C20H27O4
CE7110_n,"5,6-epoxy,18R-HEPE",C20H27O4
CE7111_c,5-oxo-EPE,C20H27O3
CE7111_x,5-oxo-EPE,C20H27O3
CE7113_c,15-epi-lipoxin B5,C20H29O5
CE7113_r,15-epi-lipoxin B5,C20H29O5
CE7113_x,15-epi-lipoxin B5,C20H29O5
CE7114_c,"5,12,18R-TriHEPE",C20H29O5
leuktrB4woh_c,20-hydroxy-leukotriene B4(1-),C20H31O5
CE7122_c,alpha-tocotrienoxyl radical,C29H43O2
CE7144_c,13-hydroxy-alpha-tocotrienol,C29H44O3
CE7144_r,13-hydroxy-alpha-tocotrienol,C29H44O3
CE7145_c,13-carboxy-alpha-tocotrienol,C29H41O4
CE7145_r,13-carboxy-alpha-tocotrienol,C29H41O4
CE7172_c,"14,15-DiHETE",C20H31O4
CE7172_n,"14,15-DiHETE",C20H31O4
CE7218_c,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate,C9H10N2O5S
CE7220_c,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione,C16H21N5O8S
CN0009_c,"Benzo[a]pyrene-2,3-diol",C20H14O2
CN0009_r,"Benzo[a]pyrene-2,3-diol",C20H14O2
CN0009_x,"Benzo[a]pyrene-2,3-diol",C20H14O2
CN0010_c,"Benzo[a]pyrene-4,5-diol",C20H14O2
CN0010_r,"Benzo[a]pyrene-4,5-diol",C20H14O2
CN0010_x,"Benzo[a]pyrene-4,5-diol",C20H14O2
CN0011_c,"Benzo[a]pyrene-9,10-diol",C20H14O2
CN0011_r,"Benzo[a]pyrene-9,10-diol",C20H14O2
CN0011_x,"Benzo[a]pyrene-9,10-diol",C20H14O2
CN0012_c,"Benzo[a]pyrene-2,3-oxide",C20H12O
CN0012_r,"Benzo[a]pyrene-2,3-oxide",C20H12O
CN0012_x,"Benzo[a]pyrene-2,3-oxide",C20H12O
CN0016_c,"dibenzo[a,l]pyrene",C24H14
CN0016_r,"dibenzo[a,l]pyrene",C24H14
CN0017_c,"Dibenzo[a,l]pyrene-11,12-epoxide",C24H16O
CN0017_r,"Dibenzo[a,l]pyrene-11,12-epoxide",C24H16O
CN0017_x,"Dibenzo[a,l]pyrene-11,12-epoxide",C24H16O
CN0018_c,"Dibenzo[a,l]pyrene-11,12-diol",C24H18O2
CN0018_r,"Dibenzo[a,l]pyrene-11,12-diol",C24H18O2
CN0018_x,"Dibenzo[a,l]pyrene-11,12-diol",C24H18O2
CN0019_c,"Dibenzo[a,l]pyrene-11,12-diol-13,14-epoxide",C24H16O3
CN0019_r,"Dibenzo[a,l]pyrene-11,12-diol-13,14-epoxide",C24H16O3
CN0020_c,"7,12-Dimethylbenz[a]anthracene",C20H16
CN0020_r,"7,12-Dimethylbenz[a]anthracene",C20H16
CN0021_c,"7,12-Dimethylbenz[a]anthracene-3,4-oxide",C20H18O
CN0021_r,"7,12-Dimethylbenz[a]anthracene-3,4-oxide",C20H18O
CN0021_x,"7,12-Dimethylbenz[a]anthracene-3,4-oxide",C20H18O
CN0022_c,"7,12-Dimethylbenz[a]anthracene-3,4-diol",C20H20O2
CN0022_r,"7,12-Dimethylbenz[a]anthracene-3,4-diol",C20H20O2
CN0022_x,"7,12-Dimethylbenz[a]anthracene-3,4-diol",C20H20O2
CN0023_c,"7,12-Dimethylbenz[a]anthracene-3,4-diol-1,2-epoxide",C20H18O3
CN0023_r,"7,12-Dimethylbenz[a]anthracene-3,4-diol-1,2-epoxide",C20H18O3
HC00229_e,isomaltose,C12H22O11
HC00250_c,hydrosulfide,HS
HC00250_e,hydrosulfide,HS
HC00319_c,malonic acid,C3H2O4
HC00319_m,malonic acid,C3H2O4
HC00342_c,cis-aconitate(3-),C6H3O6
HC00342_e,cis-aconitate(3-),C6H3O6
HC00342_m,cis-aconitate(3-),C6H3O6
HC00361_c,"sedoheptulose 1,7-bisphosphate(4-)",C7H12O13P2
HC00460_c,"2,5-dihydroxybenzoate",C7H5O4
HC00576_c,Homocarnosine,C10H16N4O3
HC00591_c,2-oxoglutaramate,C5H6NO4
HC00591_m,2-oxoglutaramate,C5H6NO4
HC00617_c,ferricytochrome b5,X
HC00619_c,Ferrocytochrome b5,XH
HC00664_c,D-tagatofuranose 6-phosphate(2-),C6H11O9P
HC00682_m,S(6)-acetyldihydrolipoamide,C10H19NO2S2
HC00695_m,S(8)-succinyldihydrolipoamide,C12H20NO4S2
HC00718_c,N-methylethanolaminium phosphate(1-),C3H9NO4P
HC00822_e,"N,N'-diacetylchitobiose",C16H28N2O11
HC00822_l,"N,N'-diacetylchitobiose",C16H28N2O11
HC00832_c,L-fuculose,C6H12O5
HC00900_c,methylmalonic acid,C4H4O4
HC00900_m,methylmalonic acid,C4H4O4
HC00955_e,3-cyano-L-alanine,C4H6N2O2
c8crn_m,O-octanoyl-L-carnitine,C15H29NO4
c8crn_x,O-octanoyl-L-carnitine,C15H29NO4
HC01104_e,4-nitrophenyl phosphate(2-),C6H4NO6P
HC01115_c,N-glycoloylneuraminate,C11H18NO10
HC01118_r,presqualene diphosphate(3-),C30H49O7P2
HC01162_c,CMP-N-glycoloyl-beta-neuraminate(2-),C20H29N4O17P
HC01180_c,"D-tagatofuranose 1,6-bisphosphate(4-)",C6H10O12P2
HC01223_m,3-hydroxy-2-methylpropanoyl-CoA(4-),C25H38N7O18P3S
HC01231_c,N-[(R)-pantothenoyl]-L-cysteinate,C12H21N2O6S
HC01231_m,N-[(R)-pantothenoyl]-L-cysteinate,C12H21N2O6S
HC01254_c,"6-lactoyl-5,6,7,8-tetrahydropterin",C9H13N5O3
HC01255_c,But-2-enoyl-ACP,C4H5OSR
HC01321_c,(R)-3-Hydroxybutanoyl-ACP,C4H7O2SR
HC01322_c,(R)-3-Hydroxydecanoyl-ACP,C10H19O2SR
HC01323_c,(R)-3-Hydroxyoctanoyl-ACP,C8H15O2SR
HC01326_c,(R)-3-Hydroxypalmitoyl-ACP,C16H31O2SR
HC01361_e,"7,8-dihydroneopterin",C9H13N5O4
HC01376_m,S(8)-(2-methylbutanoyl)dihydrolipoamide,C13H25NO2S2
HC01377_m,S(8)-(3-methylbutanoyl)dihydrolipoamide,C13H25NO2S2
3hexdcoa_x,(S)-3-hydroxypalmitoyl-CoA(4-),C37H62N7O18P3S
3htdcoa_x,(S)-3-hydroxytetradecanoyl-CoA(4-),C35H58N7O18P3S
3hddcoa_x,(S)-3-hydroxylauroyl-CoA(4-),C33H54N7O18P3S
3hdcoa_x,(S)-3-hydroxydecanoyl-CoA(4-),C31H50N7O18P3S
HC01405_m,(S)-3-hydroxyoctanoyl-CoA,C29H50N7O18P3S
HC01406_m,3-oxooctanoyl-CoA,C29H48N7O18P3S
HC01407_m,(S)-3-hydroxyhexanoyl-CoA,C27H46N7O18P3S
HC01408_m,3-oxohexanoyl-CoA,C27H44N7O18P3S
tetdece1coa_m,trans-tetradec-2-enoyl-CoA(4-),C35H56N7O17P3S
tetdece1coa_x,trans-tetradec-2-enoyl-CoA(4-),C35H56N7O17P3S
c81coa_m,trans-oct-2-enoyl-CoA,C29H48N7O17P3S
HC01434_c,oxalatosuccinate(3-),C6H3O7
HC01434_m,oxalatosuccinate(3-),C6H3O7
HC01434_x,oxalatosuccinate(3-),C6H3O7
HC01435_m,3-carboxy-1-hydroxypropylthiamine diphosphate,C16H21N4O10P2S
HC01440_e,3-keto-beta-D-galactose,C6H10O6
HC01441_e,Lactose-6P,C12H21O14P
HC01444_e,3-O-beta-D-galactosyl-sn-glycerol,C9H18O8
HC01446_e,3-Ketolactose,C12H20O11
HC01459_x,"3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA",C48H76N7O21P3S
HC01496_m,2-amino-3-oxoadipic acid,C6H9NO5
HC01501_c,hydroxidodioxidosulfidosulfate(1-),HO3S2
HC01522_c,"2,5-dihydroxybenzaldehyde",C7H6O3
HC01577_e,gamma-Glutamyl-beta-cyanoalanine,C9H13N3O5
HC01587_c,Acetoacetyl-ACP,C4H5O2SR
HC01588_c,Butyryl-[acp],C4H7OSR
HC01589_c,3-Oxohexanoyl-ACP,C6H9O2SR
HC01590_c,D-3-Hydroxyhexanoyl-ACP,C6H11O2SR
HC01591_c,(2E)-Hexenoyl-ACP,C6H9OSR
HC01592_c,Hexanoyl-[acp],C6H11OSR
HC01593_c,3-Oxooctanoyl-ACP,C8H13O2SR
HC01594_c,(2E)-Octenoyl-ACP,C8H13OSR
HC01595_c,octanoyl-[acyl-carrier protein],C8H15OSR
HC01596_c,3-Oxodecanoyl-ACP,C10H17O2SR
HC01597_c,(2E)-Decenoyl-ACP,C10H17OSR
HC01598_c,decanoyl-[acyl-carrier protein],C10H19OSR
HC01599_c,3-Oxododecanoyl-ACP,C12H21O2SR
HC01600_c,D-3-Hydroxydodecanoyl-ACP,C12H23O2SR
HC01601_c,(2E)-Dodecenoyl-ACP,C12H21OSR
HC01602_c,3-Oxotetradecanoyl-ACP,C14H25O2SR
HC01605_c,3-Oxohexadecanoyl-ACP,C16H29O2SR
HC01609_e,uroporphyrinogen I(8-),C40H36N4O16
HC01610_e,coproporphyrinogen I(4-),C36H40N4O8
HC01651_c,Formamidopyrimidine nucleoside triphosphate,C10H18N5O15P3
HC01651_n,Formamidopyrimidine nucleoside triphosphate,C10H18N5O15P3
HC01652_c,"2,5-diamino-6-ribosylamino-4(3H)pyrimidinone 5'-triphosphate",C9H14N5O14P3
